iter	Passed	Remaining
0	1	150
1	2	143
2	4	134
3	5	123
4	6	122
5	7	120
6	8	119
7	10	117
8	11	116
9	12	113
10	13	111
11	15	110
12	16	109
13	17	107
14	18	105
15	19	103
16	20	101
17	21	99
18	22	97
19	24	96
20	25	94
21	26	92
22	27	91
23	28	89
24	29	88
25	30	86
26	31	85
27	32	84
28	33	82
29	34	81
30	35	79
31	37	79
32	38	78
33	40	78
34	42	79
35	44	79
36	45	77
37	46	76
38	47	74
39	48	73
40	50	72
41	50	69
42	51	68
43	52	67
44	53	65
45	54	64
46	55	63
47	57	61
48	58	60
49	59	59
50	60	58
51	61	57
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	69	47
59	70	46
60	71	45
61	72	44
62	73	43
63	74	42
64	75	40
65	76	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	87	29
75	88	27
76	89	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	100	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
