iter	Passed	Remaining
0	131	131194
1	132	66115
2	133	44393
3	134	33528
4	135	27015
5	136	22670
6	137	19567
7	139	17251
8	140	15452
9	144	14288
10	145	13111
11	146	12101
12	148	11251
13	149	10517
14	150	9878
15	151	9320
16	152	8826
17	153	8386
18	154	7992
19	158	7789
20	160	7469
21	161	7172
22	162	6899
23	163	6648
24	164	6418
25	165	6206
26	166	6013
27	167	5830
28	169	5659
29	170	5508
30	172	5404
31	174	5275
32	175	5156
33	177	5033
34	178	4918
35	180	4820
36	181	4726
37	182	4627
38	184	4538
39	185	4449
40	188	4419
41	190	4340
42	191	4264
43	193	4195
44	194	4123
45	195	4052
46	196	3983
47	197	3921
48	199	3864
49	202	3849
50	205	3821
51	206	3771
52	208	3718
53	209	3678
54	211	3632
55	213	3593
56	214	3552
57	218	3544
58	220	3522
59	223	3493
60	224	3461
61	226	3425
62	227	3387
63	229	3352
64	232	3349
65	234	3324
66	236	3298
67	238	3273
68	240	3241
69	241	3210
70	242	3178
71	244	3147
72	245	3118
73	248	3106
74	249	3079
75	251	3052
76	253	3038
77	255	3015
78	256	2987
79	260	2993
80	262	2976
81	263	2951
82	264	2920
83	265	2894
84	266	2869
85	267	2845
86	268	2820
87	270	2799
88	271	2777
89	275	2781
90	276	2763
91	277	2742
92	279	2724
93	280	2703
94	281	2682
95	282	2662
96	283	2641
97	284	2621
98	285	2602
99	290	2617
100	292	2603
101	293	2586
102	294	2567
103	296	2550
104	297	2534
105	298	2517
106	299	2500
107	300	2483
108	301	2466
109	304	2460
110	305	2448
111	306	2432
112	307	2416
113	309	2401
114	310	2386
115	311	2371
116	312	2355
117	313	2341
118	314	2326
119	315	2312
120	317	2309
121	319	2296
122	320	2285
123	321	2272
124	323	2263
125	324	2252
126	325	2238
127	326	2226
128	327	2214
129	329	2202
130	330	2189
131	334	2196
132	335	2187
133	336	2176
134	338	2166
135	339	2156
136	341	2151
137	342	2141
138	344	2132
139	347	2132
140	349	2130
141	350	2119
142	351	2109
143	353	2099
144	354	2091
145	356	2083
146	357	2073
147	358	2063
148	359	2053
149	363	2058
150	364	2049
151	365	2039
152	366	2030
153	367	2021
154	369	2011
155	370	2002
156	371	1993
157	372	1984
158	373	1975
159	374	1968
160	379	1975
161	380	1967
162	381	1959
163	382	1951
164	384	1943
165	385	1935
166	386	1927
167	387	1919
168	389	1913
169	392	1914
170	393	1908
171	395	1905
172	398	1902
173	399	1896
174	401	1890
175	402	1886
176	404	1880
177	409	1890
178	410	1883
179	412	1877
180	413	1871
181	415	1866
182	417	1862
183	418	1856
184	419	1849
185	423	1854
186	425	1848
187	426	1841
188	427	1835
189	429	1829
190	431	1829
191	433	1823
192	434	1818
193	436	1814
194	438	1811
195	440	1807
196	443	1806
197	446	1807
198	447	1800
199	448	1794
200	451	1795
201	453	1789
202	454	1782
203	455	1776
204	456	1770
205	457	1763
206	458	1757
207	459	1750
208	460	1744
209	461	1737
210	463	1731
211	468	1739
212	469	1734
213	470	1728
214	471	1723
215	473	1717
216	474	1711
217	475	1704
218	476	1698
219	477	1692
220	478	1686
221	482	1689
222	483	1683
223	484	1679
224	485	1673
225	486	1667
226	488	1661
227	489	1656
228	490	1650
229	491	1645
230	492	1639
231	493	1634
232	496	1634
233	497	1629
234	498	1623
235	499	1618
236	501	1613
237	502	1608
238	503	1602
239	504	1597
240	505	1592
241	506	1587
242	511	1593
243	513	1589
244	514	1584
245	515	1580
246	517	1577
247	518	1572
248	519	1568
249	521	1563
250	522	1558
251	523	1553
252	525	1552
253	527	1548
254	528	1543
255	530	1540
256	531	1536
257	532	1532
258	534	1528
259	535	1525
260	538	1526
261	540	1522
262	541	1518
263	542	1513
264	544	1509
265	545	1505
266	547	1503
267	549	1500
268	550	1497
269	557	1507
270	558	1503
271	560	1500
272	562	1496
273	563	1492
274	564	1487
275	565	1483
276	566	1479
277	569	1478
278	570	1474
279	571	1470
280	573	1467
281	575	1464
282	576	1459
283	577	1455
284	578	1451
285	580	1448
286	581	1443
287	584	1445
288	586	1441
289	587	1438
290	589	1436
291	591	1433
292	592	1429
293	593	1425
294	594	1421
295	595	1417
296	598	1417
297	600	1413
298	601	1410
299	602	1406
300	604	1403
301	605	1400
302	607	1397
303	608	1393
304	609	1389
305	611	1385
306	613	1384
307	614	1380
308	616	1377
309	617	1374
310	618	1371
311	620	1368
312	621	1364
313	623	1361
314	624	1358
315	625	1354
316	627	1353
317	629	1349
318	630	1346
319	631	1342
320	633	1339
321	635	1337
322	636	1334
323	637	1330
324	639	1327
325	640	1323
326	643	1323
327	644	1321
328	646	1317
329	647	1313
330	648	1311
331	650	1308
332	651	1304
333	652	1301
334	653	1297
335	654	1293
336	657	1293
337	658	1290
338	659	1286
339	661	1283
340	662	1280
341	663	1276
342	664	1273
